Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
gjy,mobile,0.25,2,0,0,true
gjy,mobile,0.25,2,1,684,true
gjy,mobile,0.25,2,2,507,true
gjy,mobile,0.25,2,3,664,true
gjy,mobile,0.25,2,4,445,true
gjy,mobile,0.25,2,5,585,false
gjy,mobile,0.25,2,6,568,false
gjy,mobile,0.25,2,7,759,true
gjy,mobile,0.25,2,8,526,true
gjy,mobile,0.25,2,9,641,true
gjy,mobile,0.25,2,10,532,true
gjy,mobile,0.25,2,11,570,true
gjy,mobile,0.25,2,12,524,true
gjy,mobile,0.25,2,13,575,true
gjy,mobile,0.25,2,14,501,false
gjy,mobile,0.25,2,15,607,true
gjy,mobile,0.25,2,16,601,true
gjy,mobile,0.25,2,17,559,true
gjy,mobile,0.25,2,18,497,true
gjy,mobile,0.25,3,0,0,true
gjy,mobile,0.25,3,1,573,true
gjy,mobile,0.25,3,2,741,false
gjy,mobile,0.25,3,3,510,false
gjy,mobile,0.25,3,4,759,true
gjy,mobile,0.25,3,5,586,true
gjy,mobile,0.25,3,6,743,true
gjy,mobile,0.25,3,7,562,false
gjy,mobile,0.25,3,8,719,false
gjy,mobile,0.25,3,9,662,false
gjy,mobile,0.25,3,10,830,true
gjy,mobile,0.25,3,11,652,true
gjy,mobile,0.25,3,12,718,true
gjy,mobile,0.25,3,13,640,true
gjy,mobile,0.25,3,14,750,true
gjy,mobile,0.25,3,15,632,true
gjy,mobile,0.25,3,16,720,true
gjy,mobile,0.25,3,17,535,false
gjy,mobile,0.25,3,18,665,false
gjy,mobile,0.25,4,0,0,true
gjy,mobile,0.25,4,1,648,true
gjy,mobile,0.25,4,2,733,false
gjy,mobile,0.25,4,3,646,false
gjy,mobile,0.25,4,4,842,true
gjy,mobile,0.25,4,5,646,true
gjy,mobile,0.25,4,6,856,true
gjy,mobile,0.25,4,7,610,true
gjy,mobile,0.25,4,8,705,true
gjy,mobile,0.25,4,9,595,true
gjy,mobile,0.25,4,10,705,false
gjy,mobile,0.25,4,11,614,false
gjy,mobile,0.25,4,12,719,true
gjy,mobile,0.25,4,13,661,true
gjy,mobile,0.25,4,14,710,true
gjy,mobile,0.25,4,15,563,false
gjy,mobile,0.25,4,16,725,true
gjy,mobile,0.25,4,17,597,true
gjy,mobile,0.25,4,18,755,true
gjy,mobile,0.50,2,0,0,true
gjy,mobile,0.50,2,1,389,false
gjy,mobile,0.50,2,2,552,true
gjy,mobile,0.50,2,3,538,false
gjy,mobile,0.50,2,4,611,true
gjy,mobile,0.50,2,5,448,true
gjy,mobile,0.50,2,6,602,true
gjy,mobile,0.50,2,7,481,false
gjy,mobile,0.50,2,8,695,true
gjy,mobile,0.50,2,9,433,true
gjy,mobile,0.50,2,10,577,true
gjy,mobile,0.50,2,11,481,true
gjy,mobile,0.50,2,12,579,true
gjy,mobile,0.50,2,13,471,true
gjy,mobile,0.50,2,14,551,true
gjy,mobile,0.50,2,15,433,true
gjy,mobile,0.50,2,16,540,true
gjy,mobile,0.50,2,17,385,true
gjy,mobile,0.50,2,18,495,false
gjy,mobile,0.50,3,0,0,true
gjy,mobile,0.50,3,1,584,true
gjy,mobile,0.50,3,2,395,true
gjy,mobile,0.50,3,3,558,false
gjy,mobile,0.50,3,4,510,true
gjy,mobile,0.50,3,5,615,true
gjy,mobile,0.50,3,6,459,true
gjy,mobile,0.50,3,7,589,true
gjy,mobile,0.50,3,8,454,true
gjy,mobile,0.50,3,9,580,true
gjy,mobile,0.50,3,10,453,true
gjy,mobile,0.50,3,11,606,true
gjy,mobile,0.50,3,12,403,true
gjy,mobile,0.50,3,13,532,true
gjy,mobile,0.50,3,14,521,true
gjy,mobile,0.50,3,15,692,true
gjy,mobile,0.50,3,16,497,false
gjy,mobile,0.50,3,17,612,true
gjy,mobile,0.50,3,18,571,false
gjy,mobile,0.50,4,0,0,true
gjy,mobile,0.50,4,1,496,true
gjy,mobile,0.50,4,2,587,false
