Name,Device,Width(cm),Distance(cm),Trial,Time(ms),Correct
lmq,mouse,0.75,3,4,461,true
lmq,mouse,0.75,3,5,457,true
lmq,mouse,0.75,3,6,607,true
lmq,mouse,0.75,3,7,610,true
lmq,mouse,0.75,3,8,455,true
lmq,mouse,0.75,3,9,520,true
lmq,mouse,0.75,3,10,415,true
lmq,mouse,0.75,3,11,776,true
lmq,mouse,0.75,3,12,530,true
lmq,mouse,0.75,3,13,617,true
lmq,mouse,0.75,3,14,773,true
lmq,mouse,0.75,3,15,674,true
lmq,mouse,0.75,3,16,463,true
lmq,mouse,0.75,3,17,503,true
lmq,mouse,0.75,3,18,617,true
lmq,mouse,0.75,4,0,0,true
lmq,mouse,0.75,4,1,625,true
lmq,mouse,0.75,4,2,840,true
lmq,mouse,0.75,4,3,553,true
lmq,mouse,0.75,4,4,640,true
lmq,mouse,0.75,4,5,680,true
lmq,mouse,0.75,4,6,856,true
lmq,mouse,0.75,4,7,759,true
lmq,mouse,0.75,4,8,729,true
lmq,mouse,0.75,4,9,602,true
lmq,mouse,0.75,4,10,662,true
lmq,mouse,0.75,4,11,687,true
lmq,mouse,0.75,4,12,585,true
lmq,mouse,0.75,4,13,575,true
lmq,mouse,0.75,4,14,560,true
lmq,mouse,0.75,4,15,608,true
lmq,mouse,0.75,4,16,611,true
lmq,mouse,0.75,4,17,542,true
lmq,mouse,0.75,4,18,633,true
